Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Мора,"
            1.5          ","
            0.5          ","
            5.9          ","
            34          "
Мушмула германская,"
            0.0          ","
            0.0          ","
            12.0          ","
            53          "
Мушмула японская,"
            0.4          ","
            0.2          ","
            10.4          ","
            47          "
Нектарин,"
            0.9          ","
            0.2          ","
            11.8          ","
            48          "
Нойна (Сахарное яблоко),"
            0.4          ","
            0.4          ","
            9.8          ","
            47          "
Нони,"
            0.1          ","
            0.3          ","
            10.0          ","
            44          "
Папайя,"
            0.6          ","
            0.1          ","
            9.2          ","
            48          "
Пассифлора голубая (Кавалерская звезда),"
            2.4          ","
            0.4          ","
            13.4          ","
            68          "
Пепино,"
            0.0          ","
            0.0          ","
            20.0          ","
            80          "
Персик,"
            0.9          ","
            0.1          ","
            11.3          ","
            46          "
Персики консервированные,"
            0.3          ","
            0.1          ","
            14.7          ","
            68          "
Питайя,"
            0.5          ","
            0.3          ","
            12.0          ","
            50          "
Плуот,"
            1.2          ","
            0.1          ","
            11.0          ","
            57          "
Помело,"
            0.6          ","
            0.2          ","
            6.7          ","
            32          "
Рамбутан,"
            0.6          ","
            0.2          ","
            19.0          ","
            82          "
Салакка,"
            0.0          ","
            0.0          ","
            12.0          ","
            50          "
Саподилла,"
            0.4          ","
            1.1          ","
            14.7          ","
            83          "
Сапота (Чёрное яблоко),"
            2.1          ","
            0.6          ","
            31.2          ","
            134          "
Свити,"
            0.7          ","
            0.2          ","
            9.0          ","
            58          "
Сизигиум,"
            0.6          ","
            0.3          ","
            5.6          ","
            25          "
Слива,"
            0.8          ","
            0.3          ","
            9.6          ","
            42          "
